"WATERSHED_CODE","GAZETTED_NAME","ALIAS_NAME","WATERBODY_IDENTIFIER","REGION","ORDER_50","MAGNITUDE_50","WATERBODY_TYPE","RAB_WATERSHED_CODE","WATERBODY_ID","MAP_NUMBER","UTM_ZONE","UTM_EASTING","UTM_NORTHING","STREAM_LENGTH","LAKE_PERIMETER","LAKE_AREA","LAKE_ELEVATION"
"170-598600-41200",,"BISHOP LAKE, LAKE #29","01055EUCL","Cariboo",,,"Lake",,"56064","093F01","10","407953","5874415",,"3.4","48.6","1162"
"170-598600-53100",,"LAKE #28, UNNAMED LAKE #25","00857EUCL","Cariboo",,,"Lake",,"56098","093F02","10","395417","5876619",,"2.7","26.2","1269"
"170-616600",,"LAKE #16","00184EUCL","Cariboo",,,"Lake",,"56116","093F01","10","402201","5889045",,"3.1","41.4","1162"
"170-707900",,"LAKE #18","00371EUCL","Cariboo",,,"Lake",,"56199","093F02","10","376265","5884065",,"2.2","17.9","1360"
"170-761700",,"LAKE #20","00725EUCL","Skeena",,,"Lake",,"56261","093F03","10","364105","5877682",,"3.4","51.2","1088"
"170-761700",,"LAKE #19","00863EUCL","Skeena",,,"Lake",,"56259","093F02","10","366115","5876773",,"2.7","26","1069"
"170-761700-72500",,"LAKE #21","00888EUCL","Skeena",,,"Lake",,"56277","093F03","10","362326","5876375",,"3.9","35.6","1185"
"170-835100-37500",,"LAKE #22","00913EUCL","Skeena",,,"Lake",,"56330","093F03","10","350546","5875703",,"3.7","29.2","1089"
"170-872400",,"LAKE #24, SQUIRREL LAKE","00898EUCL","Skeena",,,"Lake",,"56495","093F03","10","344602","5875085",,"6.2","75.6","1098"
"170-872400-21100",,"LAKE #23","00908EUCL","Skeena",,,"Lake",,"56501","093F03","10","347397","5875246",,"3.1","33","1103"
"170-884100",,"LAKE #25","01094EUCL","Skeena",,,"Lake",,"56521","093C14","10","342284","5873400",,"4","45.8","1105"
"180-069000-38300-80900",,"LAKE #464","01100LCHL","Omineca",,,"Lake",,"57364","093G10","10","501573","5939901",,"1.3","6.2","922"
"180-069000-86800",,"LAKE #1009","01228CHIL","Omineca",,,"Lake",,"58030","093F08","10","427131","5921413",,"2.7","31.9","1068"
"180-504200-41200-30500-6360",,"LAKE #3 1995","00093CHES","Omineca",,,"Lake",,"61193","093F15","10","368272","5966350",,"3.6","42.7","1068"
"180-640800",,"LAKE EAST OF WHITE EYE","00469LEUT","Skeena",,,"Lake",,"63988","093F12","10","325186","5932856",,"2.7","27.2","1119"
"182-819600-63300-04800-2920",,"LAKE 78 K123","00449MIDR","Omineca",,,"Lake",,"69030","093K14","10","362976","6091558",,"2.3","18.9","800"
"182-819600-63300-04800-4150-2900",,"LAKE 161 K123","00481MIDR","Omineca",,,"Lake",,"69051","093K14","10","367769","6090826",,"2","23.6","808"
"182-819600-63300-04800-9480",,"LAKE # 278 N102","00107MIDR","Omineca",,,"Lake",,"69317","093N03","10","359776","6102165",,"3.9","52.9","909"
"182-819600-63300-12100",,"LAKE # 67 K123","00397MIDR","Omineca",,,"Lake",,"69486","093K14","10","361145","6093261",,"5.2","82.9","819"
"182-819600-63300-24900",,"LAKE 473N102","00125MIDR","Omineca",,,"Lake",,"69620","093N03","10","347971","6101144",,"2.2","23.7","837"
"182-819600-63300-24900",,"LAKE 469 N102","00129MIDR","Omineca",,,"Lake",,"69621","093N03","10","348762","6100379",,"2.4","32.8","841"
"182-819600-63300-99200-4530-3070",,"DRIFTWOOD LAKE, LAKE 627 93M124","00402DRIR","Omineca",,,"Lake",,"71477","093M15","9","655621","6199559",,"1.4","6.6","870"
"182-819600-97400",,"LAKE #34 K117, LAKE 34 K117","00877UTRE","Omineca",,,"Lake",,"72432","093K12","10","338471","6064316",,"2.2","16.4","784"
"182-819600-97400",,"LAKE #20 K117, LAKE 20 K117","00892UTRE","Omineca",,,"Lake",,"72433","093K12","10","335605","6063423",,"2.2","22.9","795"
"182-819600-97400-50500",,"LAKE #29 K117, LAKE 29 K117","00872UTRE","Omineca",,,"Lake",,"72515","093K12","10","335567","6063980",,"2.9","35.3","799"
"182-819600-97400-59900",,"LAKE #174 K117, LAKE 174 K117","00959UTRE","Omineca",,,"Lake",,"72529","093K12","10","332846","6059618",,"3.3","65.1","847"
"182-819600-97400-87400",,"LAKE #116 K112, LAKE 116 K112","01034UTRE","Omineca",,,"Lake",,"72547","093K12","10","335117","6051385",,"1.1","6.1","1058"
"182-914600",,"LAKE #73 K113, LAKE 73 K113, LITTLE TOMAS LAKE","01199STUL","Omineca",,,"Lake",,"72659","093K10","10","376141","6046720",,"2.6","23.6","1016"
"230-903300-05100-42900","DINA LAKES","DINA LAKE #2, LAKE "A"","00346PARA","Omineca",,,"Lake",,"126481","093O11","10","481220","6154187",,"3.7","26.3","713"
"230-916700-68700","WOLVERINE LAKES","LAKE #1;LAKE #2;LAKE #3;LAKE#4","00927FINA","Omineca",,,"Lake",,"130199","093N09","10","409616","6171199",,"14.9","138.1","885"
"230-948700",,"LAKE D11,000, LAKE D11000","00518FINA","Omineca",,,"Lake",,"132499","094C08","10","423558","6244548",,"1.1","4","837"
"234-323900-70900-20600-2400",,"KINUSEO LAKE #9, LAKE JOAN","00584MURR","Peace",,,"Lake",,"143085","093I14","10","620661","6072339",,".9","4.4","905"
"234-323900-74000","LAKE JOAN","JADE LAKE, KINUSEO LAKE #2","00599MURR","Peace",,,"Lake",,"143396","093I14","10","618048","6071284",,".8","4.9","824"
"237-447900-85700",,"LAKE 27-N104","01701NATR","Omineca",,,"Lake",,"152426","093N02","10","398121","6101564",,"5.8","48.8","1022"
"237-604500",,"LAKE #7, LAKE 7, MOOSE LAKE","01061NATR","Omineca",,,"Lake",,"152809","093N02","10","373302","6121304",,"1.7","12.5","950"
"237-661600-24900",,"LAKE 383 N018","01025NATR","Omineca",,,"Lake",,"152873","093N03","10","363528","6121843",,"2.1","14.8","951"
"237-686600",,"LAKE 389 N108","01041NATR","Omineca",,,"Lake",,"152934","093N03","10","362375","6122383",,"2","18.1","936"
"237-899600",,"LAKE #8, PROFILE LAKE","00313NATR","Omineca",,,"Lake",,"153308","093N05","10","331597","6151063",,"2","22.2","902"
"238-024000-45900-58900",,"ILP 185, LAKE NORTH OF VEGA CREEK","00097LOMI","Omineca",,,"Lake",,"153636","094C03","10","357009","6227326",,".6","1.6","1167"
"238-024000-46400-21400-3360",,"ILP 1315, LAKE SOUTH OF THANE CREEK","00257LOMI","Omineca",,,"Lake",,"153657","094C03","10","354439","6217803",,"2.6","11.9","1270"
"239-159900-57600",,"LAKE 8731","00121FINL","Omineca",,,"Lake",,"156417","094F06","10","368282","6360098",,"2","7.3","1055"
"300","LAKE REVELSTOKE","REVELSTOKE LAKE, REVELSTOKE RESERVOIR","00041REVL","Kootenay",,,"Lake",,"646400",,"11","416435","5656033",,"287.3","10788.6",
"300-971300","LAKE OF THE HANGING GLACIER",,"00681COLR","Kootenay",,,"Lake",,"171486","082K07","11","528423","5588717",,"6.2","153.3","2189"
"300-973600-53300","LAKE ENID",,"00585COLR","Kootenay",,,"Lake",,"171740","082K09","11","562128","5599661",,"2","18.3","965"
"300-974400-10100-14900","LAKE EILEEN",,"00618COLR","Kootenay",,,"Lake",,"171771","082K09","11","563932","5596962",,"1.9","12.4","959"
"310-367800-37600-26000-7050","LAKE OF THE WOODS","CATHEDRAL LAKES","01617SIML","Okanagan",,,"Lake",,"172900","092H01","10","705669","5437885",,".7","2.7","2029"
"310-444700-37500-14900",,"LAKE OF MY GRANDFATHER","01641OKAN","Okanagan",,,"Lake",,"175121","082E03","11","320521","5447411",,"1.2","2.9","691"
"310-444700-37500-14900",,"LAKE OF MY GRANDFATHER","01647OKAN","Okanagan",,,"Lake",,"175120","082E03","11","320863","5446616",,"1","4.1","678"
"310-444700-37500-14900",,"LAKES OF MY GRANDFATHER","01660OKAN","Okanagan",,,"Lake",,"175119","082E03","11","320685","5445758",,".6","1.8","646"
"340-219700-20900-38900-4730","LAKE BONNY GEM",,"00016KOTL","Kootenay",,,"Lake",,"183973","082K02","11","522292","5557512",,"1.9","18.1","2151"
"349","LAKE KOOCANUSA","LIBBY RESERVOIR","00146BULL","Kootenay",,,"Lake",,"186249","082G03","11","632975","5429072",,"188.9","6733.4",
"349-798400","LAKE OLIVE",,"00276KOTR","Kootenay",,,"Lake",,"193030","082J12","11","575373","5614133",,".5",".8","1474"
"349-858800-32100-85200-5990-6250-920","LAKE MAGOG",,"00147KOTR","Kootenay",,,"Lake",,"193369","082J13","11","596639","5640406",,"5.3","100.5","2145"
"380-646800-63600-56700-8280","LAKE MCARTHUR",,"00300KHOR","Kootenay",,,"Lake",,"194454","082N08","11","545420","5687296",,"4.3","77.4","2265"
"380-929500-54100","LAKE DUCHESNAY",,"00077KHOR","Kootenay",,,"Lake",,"194593","082N09","11","534708","5707827",,"1.2","5.1","1592"
"380-929500-54100-61400","LAKE CELESTE",,"00080KHOR","Kootenay",,,"Lake",,"194595","082N10","11","533857","5707494",,".8","2.2","1980"
"380-998000","LAKE O'HARA",,"00253KHOR","Kootenay",,,"Lake",,"194635","082N08","11","546107","5689834",,"2.8","31.1","2020"
"380-998000-99000","LAKE OESA",,"00263KHOR","Kootenay",,,"Lake",,"194662","082N08","11","548209","5689540",,"2","16","2267"
"400-036100-57700",,"LAKE #23, LAKE 23","00211LSKE","Skeena",,,"Lake",,"195718","103I05","9","442095","6023230",,"4.1","64.8","456"
